time	V(vout)
Step Information: X=494.1  (Run: 6/6)
4.437900000000001e-003	4.148736e+002
4.437900024414064e-003	4.148736e+002
4.437900756835938e-003	4.148755e+002
4.437901538085938e-003	4.148775e+002
4.437903100585938e-003	4.148815e+002
4.437906225585938e-003	4.148896e+002
4.437912475585938e-003	4.149059e+002
4.437924975585939e-003	4.149384e+002
4.437949975585939e-003	4.150035e+002
4.437951513671894e-003	4.150075e+002
4.437953076171912e-003	4.150115e+002
4.437956201171949e-003	4.150197e+002
4.437962451172022e-003	4.150359e+002
4.437975097654791e-003	4.150687e+002
4.438000000000001e-003	4.151332e+002
4.440000000000000e-003	4.199041e+002
4.440017256197861e-003	4.199417e+002
4.440051768593582e-003	4.200155e+002
4.440120793385024e-003	4.201266e+002
4.440250000000001e-003	4.202390e+002
4.447750000000000e-003	4.149568e+002
4.447759880466290e-003	4.149498e+002
4.447779641398870e-003	4.149360e+002
4.447819163264028e-003	4.149299e+002
4.447898206994344e-003	4.149825e+002
4.447898231846152e-003	4.149825e+002
4.447898977400393e-003	4.149844e+002
4.447899772658250e-003	4.149865e+002
4.447901363173963e-003	4.149906e+002
4.447904544205390e-003	4.149988e+002
4.447910906268244e-003	4.150153e+002
4.447923630393951e-003	4.150484e+002
4.447949078645365e-003	4.151146e+002
4.447950644309221e-003	4.151187e+002
4.447952234824885e-003	4.151228e+002
4.447955415856212e-003	4.151311e+002
4.447961777918867e-003	4.151476e+002
4.447974651159797e-003	4.151810e+002
4.448000000000001e-003	4.152466e+002
4.450000000000000e-003	4.200129e+002
4.450025000000000e-003	4.200672e+002
4.450075000000000e-003	4.201541e+002
4.450150000000000e-003	4.201995e+002
4.450250000000000e-003	4.201594e+002
4.457750000000000e-003	4.148781e+002
4.457775000000000e-003	4.148607e+002
4.457825000000000e-003	4.148503e+002
4.457900000000000e-003	4.148963e+002
4.457900024414063e-003	4.148963e+002
4.457900756835938e-003	4.148982e+002
4.457901538085937e-003	4.149002e+002
4.457903100585937e-003	4.149043e+002
4.457906225585937e-003	4.149124e+002
4.457912475585938e-003	4.149286e+002
4.457924975585938e-003	4.149612e+002
4.457949975585938e-003	4.150262e+002
4.457951513671893e-003	4.150302e+002
4.457953076171911e-003	4.150343e+002
4.457956201171948e-003	4.150424e+002
4.457962451172021e-003	4.150587e+002
4.457975097654790e-003	4.150915e+002
4.458000000000000e-003	4.151560e+002
4.458516159505970e-003	4.164587e+002
4.460000000000000e-003	4.199281e+002
4.460017256197860e-003	4.199656e+002
4.460051768593581e-003	4.200394e+002
4.460120793385023e-003	4.201505e+002
4.460250000000000e-003	4.202630e+002
4.467750000000000e-003	4.149804e+002
4.467759880464308e-003	4.149735e+002
4.467779641392924e-003	4.149597e+002
4.467819163250155e-003	4.149536e+002
4.467898206964618e-003	4.150062e+002
4.467898231816433e-003	4.150062e+002
4.467898977370891e-003	4.150081e+002
4.467899772628980e-003	4.150102e+002
4.467901363145158e-003	4.150143e+002
4.467904544177514e-003	4.150226e+002
4.467910906242226e-003	4.150391e+002
4.467923630371649e-003	4.150721e+002
4.467949078630494e-003	4.151384e+002
4.467950644294842e-003	4.151424e+002
4.467952234811006e-003	4.151466e+002
4.467955415843332e-003	4.151548e+002
4.467961777907985e-003	4.151713e+002
4.467974651149586e-003	4.152047e+002
4.468000000000001e-003	4.152704e+002
4.470000000000000e-003	4.200377e+002
